LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,Class
20000,1,2,2,2,2,2,0
160000,0,0,0,0,0,0,0
20000,5,4,3,2,2,2,0
500000,0,0,0,0,0,2,0
220000,0,0,0,0,0,0,0
150000,1,0,0,2,2,2,0
150000,0,0,0,0,0,0,0
160000,0,0,0,0,0,0,0
280000,2,2,2,2,2,2,0
180000,0,0,0,2,2,2,0
450000,2,2,2,2,2,2,0
220000,0,0,2,2,2,2,0
320000,2,2,2,2,2,2,0
200000,2,2,2,2,2,2,0
180000,2,2,2,2,2,2,0
280000,2,2,2,2,2,2,0
30000,1,2,2,2,2,2,0
50000,1,2,2,2,2,0,0
50000,0,0,0,0,0,0,0
220000,0,2,0,0,0,0,0
360000,0,0,2,0,0,0,0
330000,0,0,2,2,2,2,0
100000,0,0,0,0,0,0,0
40000,2,2,2,2,2,2,0
380000,2,2,2,0,0,2,0
200000,0,0,0,0,0,0,0
150000,2,2,2,2,2,0,0
210000,0,0,0,0,0,0,0
290000,2,2,2,2,2,2,0
200000,2,2,2,2,2,2,0
140000,2,2,2,2,2,2,0
250000,0,2,0,0,0,2,0
210000,0,0,2,2,0,0,0
210000,1,2,2,2,2,2,0
280000,2,2,2,2,2,2,0
160000,2,2,2,2,2,2,0
210000,2,2,2,2,2,2,0
200000,2,2,2,2,0,0,0
180000,2,2,2,2,2,0,0
50000,2,2,2,2,2,2,0
20000,1,2,2,2,2,2,0
300000,1,0,0,2,2,2,0
350000,0,0,0,0,0,0,0
220000,0,0,0,0,0,0,0
180000,2,0,0,0,0,0,0
30000,0,0,0,0,0,0,0
350000,2,2,2,2,2,2,0
50000,0,0,0,0,2,0,0
380000,1,2,2,2,2,2,0
360000,2,2,2,2,2,2,0
500000,0,0,0,0,0,0,0
180000,0,0,0,0,0,0,0
200000,2,2,2,2,2,2,0
320000,2,2,2,2,2,0,0
200000,1,0,0,0,0,0,0
400000,2,2,2,2,2,2,0
500000,1,0,0,2,0,0,0
280000,0,0,0,0,0,0,0
200000,0,0,0,0,0,0,0
360000,0,0,2,0,0,0,0
180000,2,2,2,2,0,0,0
200000,0,0,0,0,0,0,0
160000,1,2,2,2,0,0,0
360000,0,2,2,0,0,0,0
220000,0,0,0,0,0,0,0
70000,1,2,2,2,2,2,0
360000,0,2,2,2,2,2,0
130000,2,2,2,2,2,2,0
210000,2,2,2,2,2,2,0
360000,2,2,2,2,2,2,0
200000,0,0,0,0,0,0,0
100000,0,0,0,0,0,0,0
50000,0,0,0,2,2,2,0
150000,2,2,2,2,2,2,0
50000,2,2,2,2,2,2,0
360000,0,0,0,0,0,0,0
250000,2,0,0,2,2,2,0
160000,1,2,2,2,2,2,0
200000,2,2,2,2,2,2,0
180000,0,0,0,0,0,0,0
50000,1,2,2,2,2,2,0
210000,0,0,0,0,0,0,0
210000,0,0,0,2,2,2,0
140000,2,2,2,2,2,2,0
200000,0,0,0,0,0,0,0
60000,0,0,0,0,0,0,0
240000,2,2,2,2,2,2,0
440000,2,2,2,2,2,2,0
200000,0,2,2,2,2,2,0
270000,3,3,4,4,4,4,0
300000,1,2,2,0,0,0,0
200000,0,0,2,0,0,0,0
240000,1,2,2,2,0,0,0
140000,2,2,2,2,2,2,0
360000,2,2,2,2,2,2,0
300000,0,0,0,0,0,0,0
200000,1,2,0,0,0,0,0
350000,2,2,2,2,2,2,0
400000,2,2,2,2,2,2,0
410000,0,0,0,0,2,2,0
60000,1,2,2,0,0,0,0
400000,2,2,2,2,2,2,0
30000,3,2,2,7,7,7,0
500000,2,2,2,2,2,2,0
360000,1,2,0,0,0,0,0
260000,2,2,2,2,2,2,0
10000,2,2,2,2,2,0,0
400000,1,2,2,2,2,2,0
30000,2,0,0,2,2,2,0
20000,0,2,2,2,2,2,0
230000,0,0,0,0,0,0,0
380000,2,2,2,2,2,2,0
100000,0,0,0,0,0,0,0
50000,0,0,0,0,0,0,0
500000,0,0,0,0,0,0,0
80000,0,0,0,0,0,0,0
220000,0,0,0,0,0,0,0
200000,1,2,2,2,2,2,0
