Bananas,Clementines,Weight
9,19,7.9158474996816794
4,25,6.698709726621817
5,26,7.367896742177805
7,26,8.018789791219415
8,21,7.57554432183902
9,23,8.333710090812431
5,16,5.931816559231025
5,16,5.848549073185536
9,17,7.895173563047283
6,23,7.011109795165099
4,26,6.668068372929213
9,21,7.961371444638614
9,17,7.505879200699456
5,28,7.174203037373924
5,24,6.738540314853398
7,17,7.039008068707994
6,20,7.013657264456396
5,20,6.623699979885603
8,27,8.331002624512315
6,20,6.780726410571946
6,15,6.183445705387013
8,29,8.662572475638402
6,19,6.636719416937433
4,26,6.7231498206239255
4,26,6.749736069327665
9,29,9.028376079829965
4,15,5.5308245420577435
4,22,6.055992593491173
9,17,7.599693180071183
5,18,6.217862693193167
7,14,6.433308301987923
7,27,7.929009194407139
8,22,7.8057436171132535
4,27,6.97372260670841
7,19,7.290583856036912
4,20,6.297207911132039
7,17,6.89676373322237
6,27,7.619274930152079
9,21,8.096026889276203
6,18,6.561978517200374
8,27,8.44991946519999
9,20,7.946105322785703
5,20,6.376491134061626
7,14,6.653772139552654
9,27,8.78023129861189
7,28,8.13465575082018
9,17,7.658174638520082
7,22,7.608134883262746
8,29,8.636244227191405
9,29,9.138903778812676
