Day,Low,High
1,44.96,57.92
2,48.92,62.059999999999995
3,51.98,60.980000000000004
4,53.96,57.92
5,57.02,64.04
6,50.0,60.980000000000004
7,44.96,60.08
8,48.92,53.96
9,53.06,57.92
10,37.94,64.04
11,48.02,55.94
12,46.94,60.980000000000004
13,44.06,62.059999999999995
14,44.06,66.92
15,46.04,59.0
16,50.0,62.059999999999995
17,48.92,60.980000000000004
18,48.92,64.94
19,42.980000000000004,59.0
20,39.92,55.04
21,39.02,57.02
22,48.02,57.02
23,42.08,59.0
24,42.980000000000004,59.0
25,42.08,57.92
26,41.0,57.02
27,39.92,57.02
28,44.06,64.04
29,46.94,69.08
30,44.96,64.04
31,44.96,69.98
32,48.92,69.08
33,50.0,75.92
34,53.06,77.0
35,53.96,78.98
36,51.08,77.0
37,50.0,75.02
38,51.98,78.08
39,50.0,75.02
40,51.08,77.0
41,48.02,75.92
42,44.06,73.04
43,39.02,57.02
44,42.08,60.980000000000004
45,42.980000000000004,66.02
46,39.92,62.059999999999995
47,41.0,69.08
48,42.980000000000004,68.0
49,44.96,69.98
50,33.98,59.0
51,33.08,53.96
52,37.94,55.94
53,39.02,57.92
54,33.98,55.94
55,37.04,59.0
56,37.04,57.92
57,44.06,64.94
58,37.04,57.02
59,39.92,59.0
60,46.04,57.02
61,37.94,57.02
62,39.02,51.08
63,37.04,53.96
64,37.94,57.02
65,44.96,62.959999999999994
66,48.92,69.98
67,51.98,69.98
68,46.04,66.92
69,48.92,64.94
70,44.96,57.92
71,46.94,71.06
72,53.96,73.94
73,46.04,60.980000000000004
74,39.02,57.92
75,42.980000000000004,55.04
76,41.0,55.94
77,39.02,55.04
78,41.0,55.94
79,51.08,64.04
80,51.08,57.92
81,55.04,64.94
82,39.92,59.0
83,42.08,60.08
84,39.92,57.92
85,39.92,60.08
86,46.94,66.02
87,48.92,73.04
88,51.98,78.08
89,53.96,82.04
90,50.0,80.06
91,46.94,64.94
92,48.92,69.08
93,42.08,73.04
94,48.92,66.92
95,48.92,64.94
96,53.06,60.980000000000004
97,55.04,60.980000000000004
98,46.04,64.04
99,48.02,66.92
100,51.98,78.08
101,46.04,64.04
102,46.94,60.980000000000004
103,42.980000000000004,62.959999999999994
104,48.02,69.08
105,48.92,73.04
106,44.06,62.959999999999994
107,39.92,57.02
108,44.06,64.94
109,41.0,59.0
110,46.94,68.0
111,46.94,68.0
112,46.94,75.02
113,48.92,77.0
114,51.08,73.04
115,48.02,62.959999999999994
116,48.92,62.959999999999994
117,50.0,62.059999999999995
118,48.92,66.92
119,48.92,64.04
120,46.94,64.04
121,46.94,64.94
122,50.0,66.92
123,48.92,64.94
124,48.92,64.94
125,48.92,71.06
126,50.0,64.04
127,48.02,66.92
128,51.08,73.94
129,51.98,69.08
130,48.92,69.98
131,48.92,75.02
132,57.02,75.02
133,51.98,68.0
134,51.08,66.02
135,51.98,62.959999999999994
136,50.0,64.94
137,50.0,66.02
138,51.08,71.06
139,51.08,64.04
140,51.98,66.02
141,50.0,66.92
142,51.08,69.98
143,51.98,59.0
144,51.08,60.980000000000004
145,51.98,64.04
146,53.06,66.02
147,50.0,66.92
148,51.08,75.02
149,51.98,82.04
150,50.0,78.08
151,48.92,64.94
152,48.92,69.08
153,51.98,75.02
154,51.08,82.94
155,51.08,75.92
156,48.92,78.08
157,50.0,73.94
158,51.08,69.98
159,48.92,71.96
160,53.96,77.0
161,50.0,71.96
162,51.08,75.92
163,53.06,78.98
164,51.98,80.06
165,51.98,84.91999999999999
166,51.98,71.96
167,51.98,66.92
168,53.06,68.0
169,53.96,69.08
170,51.98,71.06
171,51.08,69.98
172,51.08,69.98
173,51.08,73.94
174,55.04,82.04
175,55.04,89.96000000000001
176,53.96,71.06
177,51.08,69.08
178,51.98,73.94
179,51.98,68.0
180,53.06,75.92
181,53.96,78.08
182,53.06,75.92
183,53.06,62.059999999999995
184,53.06,66.02
185,51.98,71.06
186,51.98,69.08
187,55.94,75.92
188,53.96,82.94
189,53.06,78.08
190,53.06,82.04
191,55.04,86.0
192,53.96,84.91999999999999
193,53.96,73.94
194,55.94,71.06
195,55.04,75.92
196,53.96,71.96
197,53.06,71.06
198,53.96,73.04
199,53.96,73.94
200,53.06,71.06
201,55.04,73.94
202,57.02,71.96
203,57.02,73.94
204,55.94,75.02
205,55.04,75.02
206,53.96,78.08
207,53.06,77.0
208,51.98,71.96
209,51.08,71.96
210,51.08,71.96
211,51.08,71.06
212,51.08,71.96
