Urban area,Size,Latitude,Longitude,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,Population,College,High school,No high school,Has rapid transit
"Aberdeen--Bel Air South--Bel Air North, MD",134.925,39.508977,-76.30343,0.9099703693251967,0.01054710924547603,5232,0.9621154939289741,0.8946812301114374,1234,0.4273,217354,0.3678973253385434,0.5598329178737452,0.07226975678771137,Yes
"Abilene, TX",55.114,32.428466,-99.747188,0.8886281054955754,0.03172864618647751,567,0.8564911049321059,0.75325382176156,822,0.456,115066,0.24574061196105704,0.6200452016689847,0.13421418636995827,No
"Akron, OH",332.108,41.066225,-81.491897,0.9223750456037942,0.010904779277635899,7004,0.9443403378774657,0.8266942402347116,787,0.4559,564172,0.2896753838096933,0.6260270827367547,0.084297533453552,No
"Albany, GA",71.922,31.591096999999998,-84.16882700000001,0.9021763207442685,0.022926126924354858,448,0.8546410793522085,0.7674854998294097,689,0.4706,90661,0.232903192986621,0.6416495684465773,0.12544723856680176,No
"Albany--Schenectady, NY",302.01800000000003,42.746355,-73.80050899999999,0.865016869049733,0.03541817486443294,11849,0.9674176149944173,0.8577914089168442,967,0.4574,598679,0.3862657634236328,0.5312780656733647,0.08245617090300254,Yes
"Albuquerque, NM",254.013,35.141344000000004,-106.62888999999998,0.8960034157370341,0.020611909803910332,10032,0.9318529507208753,0.8433797463235789,863,0.4636,760553,0.34356219058218523,0.5623114710058718,0.09412633841194305,No
"Alexandria, LA",65.892,31.260637,-92.506129,0.8876598900080331,0.024995365507013534,236,0.9237218180880152,0.7685828739685692,784,0.5041,82641,0.22979770759225324,0.5993855772340196,0.17081671517372715,No
"Allentown, PA--NJ",350.355,40.651115000000004,-75.44216800000001,0.9104351512674501,0.019755202630366953,8224,0.9400440076540194,0.8309792390076962,981,0.4549,684888,0.2863045467117721,0.6069232569519798,0.10677219633624817,Yes
"Alton, IL--MO",55.587999999999994,38.897683,-90.12829,0.9294201899103496,0.010636040528353933,944,0.9437711156604414,0.7869484076816567,744,0.4297,80117,0.21065254149556575,0.6843748921632906,0.10497256634114359,No
"Altoona, PA",37.458999999999996,40.485263,-78.393865,0.8954221041000986,0.03908979604025443,775,0.9638212089958075,0.8027525729249132,696,0.4637,75793,0.21631442343344456,0.6842602892102336,0.09942528735632183,No
"Amarillo, TX",81.78299999999999,35.197528000000005,-101.849137,0.9489725956244416,0.011562194843240323,1089,0.8278549028123564,0.8083986028789162,816,0.4648,205262,0.2272625347564804,0.6025802015128412,0.17015726373067838,No
