Extroversion,Number of texters,Hours of sleep,Handedness,Pant leg order
7,7,8,Right-handed,Right leg in first
3,4,7,Right-handed,I don't know
9,5,9,Right-handed,Left leg in first
7,8,7,Right-handed,Left leg in first
8,15,6,Right-handed,I don't know
6,3,6.5,Right-handed,Right leg in first
8,10,5,Right-handed,Left leg in first
5,1,6,Right-handed,Left leg in first
3,2,8,Right-handed,I don't know
5,3,7,Right-handed,Right leg in first
3,10,6,Right-handed,Right leg in first
8,38,6,Right-handed,Right leg in first
6,2,7,Right-handed,Left leg in first
5,20,7,Right-handed,Right leg in first
3,5,7,Right-handed,Right leg in first
6,3,8,Right-handed,Left leg in first
8,30,8,Right-handed,Right leg in first
5,3,7,Right-handed,Right leg in first
9,10,7,Right-handed,I don't know
9,12,6,Right-handed,Left leg in first
4,10,6,Right-handed,Right leg in first
4,5,6,Right-handed,Right leg in first
6,3,8,Right-handed,I don't know
4,4,7,Right-handed,Left leg in first
7,20,5,Right-handed,Left leg in first
7,5,8,Right-handed,Right leg in first
6,15,6,Right-handed,Right leg in first
4,7,7,Right-handed,Right leg in first
5,2,7,Right-handed,Left leg in first
4,4,7,Right-handed,Right leg in first
8,10,9,Right-handed,Left leg in first
4,6,7,Right-handed,I don't know
7,14,7,Right-handed,I don't know
6,10,7,Right-handed,Right leg in first
4,10,7,Right-handed,Right leg in first
8,8,4,Right-handed,Left leg in first
7,10,6,Right-handed,Right leg in first
8,12,8,Right-handed,Right leg in first
2,2,7,Right-handed,Right leg in first
2,3,7,Right-handed,Right leg in first
6,5,7,Right-handed,Right leg in first
8,2,7,Right-handed,Right leg in first
3,3,7,Right-handed,Right leg in first
6,5,7,Right-handed,Right leg in first
3,4,6,Right-handed,I don't know
8,8,9,Right-handed,Right leg in first
5,4,6,Right-handed,I don't know
4,7,6,Right-handed,Left leg in first
4,7,7,Right-handed,Left leg in first
9,10,8,Right-handed,Right leg in first
6,30,8,Right-handed,Right leg in first
9,7,4,Right-handed,Right leg in first
2,10,7,Right-handed,I don't know
8,10,7,Left-handed,I don't know
5,6,7,Left-handed,Right leg in first
7,10,7,Right-handed,Left leg in first
8,10,7,Right-handed,I don't know
4,2,7,Right-handed,Right leg in first
7,12,7,Right-handed,Left leg in first
6,3,7,Right-handed,Right leg in first
8,6,6.5,Right-handed,Right leg in first
7,5,7,Left-handed,Right leg in first
7,6,7,Right-handed,Right leg in first
8,8,8,Right-handed,Right leg in first
7,5,8,Right-handed,Right leg in first
3,5,7,Right-handed,Left leg in first
6,12,7,Right-handed,Right leg in first
7,11,6,Left-handed,Right leg in first
9,5,7,Right-handed,Right leg in first
8,9,6.5,Right-handed,Left leg in first
8,7,7,Left-handed,Left leg in first
7,10,6,Right-handed,Right leg in first
8,7,6,Right-handed,Right leg in first
